time,price,true_change_pct,flow_1min,flow_5min,flow_15min,flow_sustainability,confidence
13:57:12,10.98,3.389830508474588,-1527479.0,-5077817.0,-7209161.0,1.4197362764353265,0.34681934704942036
13:57:15,10.99,3.4839924670433238,80358.0,-5032758.0,-7164102.0,1.4234942351688677,0.3469202893783648
13:57:18,10.98,3.389830508474588,-518052.0,-5518152.0,-8077351.0,1.4637782721461823,0.367370579238982
13:57:21,10.99,3.4839924670433238,-264183.0,-5374074.0,-7823482.0,1.455782335710301,0.362356769522747
13:57:24,10.99,3.4839924670433238,-264183.0,-5374074.0,-8045278.0,1.4970538180159039,0.3733624981375744
13:57:27,11.0,3.5781544256120603,-59583.0,-5169474.0,-7840678.0,1.51672645998413,0.37451653599576795
13:57:30,11.0,3.5781544256120603,245661.0,-5008814.0,-7840678.0,1.5653761549141174,0.384276587977098
13:57:33,11.0,3.5781544256120603,424472.0,-5246140.0,-7840678.0,1.4945613346193583,0.37013915589849555
13:57:36,11.0,3.5781544256120603,424472.0,-5246140.0,-7840678.0,1.4945613346193583,0.37013915589849555
13:57:39,11.01,3.672316384180797,504845.0,-4965219.0,-7760305.0,1.5629330750567094,0.3827532000151226
13:57:42,11.01,3.672316384180797,504845.0,-5104953.0,-7760305.0,1.5201520954257561,0.3741396187802017
13:57:45,11.02,3.766478342749533,518069.0,-4944365.0,-7747081.0,1.5668505460256272,0.3833807789401673
13:57:48,11.02,3.766478342749533,518069.0,-4944365.0,-7747081.0,1.5668505460256272,0.3833807789401673
13:57:51,11.03,3.860640301318269,640502.0,-4821932.0,-8520333.0,1.766995677251359,0.4343041539336958
13:57:54,11.03,3.860640301318269,640502.0,-4821932.0,-7834083.0,1.624677204075047,0.3963525610866792
13:57:57,11.02,3.766478342749533,546832.0,-4915602.0,-7927753.0,1.6127735727994252,0.3950516594131801
13:58:00,11.03,3.860640301318269,700149.0,-5382216.0,-8914099.0,1.65621353732366,0.41596792995297605
13:58:03,11.03,3.860640301318269,700149.0,-5247040.0,-8914099.0,1.6988814645971824,0.424642523892582
13:58:06,11.03,3.860640301318269,700149.0,-5530944.0,-8671441.0,1.5678048810474305,0.3953668482793148
13:58:09,11.04,3.954802259887005,287882.99999999994,-5129128.0,-8763272.0,1.7085305728381122,0.42485737942349655
13:58:12,11.04,3.954802259887005,287882.99999999994,-5129128.0,-8763272.0,1.7085305728381122,0.42485737942349655
13:58:15,11.04,3.954802259887005,287882.99999999994,-5499534.0,-8763272.0,1.5934571911001914,0.40157926429338436
13:58:18,11.03,3.860640301318269,-19690.00000000006,-5522720.0,-8217658.0,1.4879729553553322,0.3739138547614219
13:58:21,11.04,3.954802259887005,748736.0,-6110151.0,-8358659.0,1.3679954881638767,0.35366848351036717
13:58:24,11.04,3.954802259887005,494867.0,-6175641.0,-8358659.0,1.353488488077594,0.351109750154025
13:58:27,11.04,3.954802259887005,494867.0,-6175641.0,-7002629.0,1.1339112814362104,0.29255582838298944
13:58:30,11.04,3.954802259887005,290267.0,-6092466.0,-7287270.0,1.1961117222484294,0.30747911259958116
13:58:33,11.04,3.954802259887005,290267.0,-6092466.0,-7287270.0,1.1961117222484294,0.30747911259958116
13:58:36,11.04,3.954802259887005,290267.0,-6092466.0,-7742670.0,1.270859779931476,0.3274119279817269
13:58:39,11.03,3.860640301318269,-99091.99999999994,-6481825.0,-8132029.0,1.2545894096184331,0.3308603425649155
13:58:42,11.03,3.860640301318269,-179465.0,-6481825.0,-7710013.0,1.1894818203206659,0.31349831875217754
13:58:45,11.03,3.860640301318269,-179465.0,-6481825.0,-8137913.0,1.2554971786495315,0.33110241430654175
13:58:48,11.03,3.860640301318269,-192689.0,-6585055.0,-8137913.0,1.235815494327686,0.3279185651540496
13:58:51,11.02,3.766478342749533,-495739.0,-6802712.0,-8440963.0,1.2408232187398203,0.33360709833061875
13:58:54,11.03,3.860640301318269,-427353.0,-6611893.0,-8250144.0,1.2477733683833057,0.3316440915688815
13:58:57,11.03,3.860640301318269,-427353.0,-6611893.0,-8250144.0,1.2477733683833057,0.3316440915688815
13:59:00,11.03,3.860640301318269,-333683.0,-6611893.0,-8250144.0,1.2477733683833057,0.3316440915688815
13:59:03,11.03,3.860640301318269,-487000.0,-6506633.0,-8250144.0,1.2679590196650095,0.3349217319106692
13:59:06,11.03,3.860640301318269,-487000.0,-6684073.0,-8250144.0,1.2342989072680683,0.32949450193815155
13:59:09,11.03,3.860640301318269,-487000.0,-6684073.0,-8250144.0,1.2342989072680683,0.32949450193815155
13:59:12,11.02,3.766478342749533,-717512.0,-6807497.0,-8785342.0,1.2905392393121877,0.34696040381658344
13:59:15,11.03,3.860640301318269,-654641.0,-6744626.0,-8854711.0,1.312854263527733,0.3516536569407288
13:59:18,11.02,3.766478342749533,-1068993.0,-7158978.0,-9269063.0,1.2947466803222472,0.3551120080859326
13:59:21,11.02,3.766478342749533,-806479.0,-7158978.0,-9473118.0,1.3232500504960345,0.3627129067989425
13:59:24,11.02,3.766478342749533,-976495.0,-7158978.0,-9781134.0,1.3662751862067464,0.374186276321799
