stock,date,success,macro_mfe,macro_purity,vacuum_ratio,change_pct,amplitude,amount_yi,is_sealed,pre_volume_ratio
002105.SZ,20250305,True,6.731930573440207,100.0,2.3614697156321283,10.000000000000002,15.689655172413797,2.33063235,True,3.460223649625955
002105.SZ,20250311,True,2.752871758098789,100.0,0.5395949108975132,10.011778563015309,4.946996466431094,1.79703121,True,5.934121107318545
002574.SZ,20250313,True,1.9192741765690002,100.0,3.944401029902734,9.966216216216214,4.3918918918918886,2.28830875,True,1.2498058212268424
603677.SH,20250314,True,1.972470064785748,100.0,3.7547631686048604,10.025974025974024,5.194805194805195,2.63365477,True,0.7154757899125429
002278.SZ,20250317,True,0.36243918086041,100.0,1.8734334381155526,9.985734664764625,1.1412268188302437,3.1487402,True,2.8236236274869264
002342.SZ,20250317,True,0.0,100.0,0.35928488805278946,10.098522167487689,0.0,0.49086272,True,2.5554768037757656
002553.SZ,20250319,True,0.36284593304655044,100.0,2.7300806630178793,10.01556824078879,9.91177996886352,27.31677295,True,1.3929867602233348
002688.SZ,20250328,True,1.608490579618857,16.12903225806448,3.343354379830314,-4.761904761904762,5.904761904761897,3.67099564,False,2.581898966083613
001212.SZ,20250402,True,0.0,100.0,0.10933275032895452,9.999999999999995,0.0,0.11164384,True,1.09592402057776
301156.SZ,20250402,True,2.945541456247284,98.61111111111114,1.3666946147597412,-2.0807061790668353,4.539722572509451,1.54121836,False,4.597461597949868
601008.SH,20250408,True,2.1097468303522313,100.0,1.0766438782904866,10.042735042735057,5.769230769230779,2.7345607,True,4.088270975625646
601086.SH,20250408,True,0.0,100.0,0.3630492735580717,10.069444444444446,0.0,0.41684232,True,2.0823108673251745
002165.SZ,20250414,True,0.47628557922721265,68.08510638297882,1.1664192985874255,5.989583333333345,12.239583333333327,25.69799269,False,2.2956949425096136
605188.SH,20250414,True,13.160116196639265,100.0,0.4863874666720486,10.04672897196261,11.565420560747665,0.87882359,True,4.609390473974639
002251.SZ,20250422,True,0.0,100.0,0.21927153779627473,9.940357852882704,0.0,0.36612122,True,1.1167357326019405
300946.SZ,20250509,True,1.8744669097029714,29.123711340206103,1.949338500087058,0.07352941176470867,9.509803921568617,5.07333785,False,2.5256298028910256
002190.SZ,20250512,True,0.5589473709847972,100.0,2.6655040417513285,10.008976660682228,4.488330341113106,8.0299695,True,2.9716280072195107
002651.SZ,20250512,True,1.5084305291925446,100.0,1.7829719459849296,9.95525727069352,16.107382550335565,10.67823956,True,3.2635995615339572
605136.SH,20250516,True,0.0,100.0,1.0691283398774314,10.03500583430571,0.0,1.16519739,True,0.7494896715240287
603607.SH,20250521,True,0.901840619978593,48.333333333333215,2.0363858452593124,-3.9086517347386938,5.270092226613963,5.84370687,False,1.366089137606295
002366.SZ,20250526,True,0.3656138967063417,100.0,2.0694783704557915,9.94671403197159,3.9076376554174184,10.68788055,True,1.0973371516062265
002250.SZ,20250529,True,0.8667813200877706,100.0,2.98379194182185,9.999999999999998,10.526315789473681,12.14414241,True,3.13949728342121
300651.SZ,20250603,True,3.326060929268612,100.0,2.8180591746454424,19.999999999999993,11.117647058823511,3.34258671,True,1.7360284453677195
605099.SH,20250604,True,2.121268236328685,100.0,3.9943967383098866,10.01072577761888,5.648909545942074,2.66298691,True,1.7519984351568105
002951.SZ,20250605,True,2.768715866455567,100.0,5.7807210950135275,10.000000000000014,7.941176470588241,2.86818036,True,2.317018116032232
603093.SH,20250605,True,0.2659111182852473,100.0,3.326934108789373,9.974587039390078,2.0330368487928863,7.64555037,True,2.07216099959935
002826.SZ,20250606,True,0.0,100.0,4.103941868165359,9.97286295793759,0.0,0.25285979,True,0.0458202181075016
