date,time,rank,code,score,price,mfe,sustain,inflow_pct,mass_potential,velocity,kinetic_energy,friction,purity,ratio_stock,change_pct
20260313,09:37:00,1,300981.SZ,3364.34,15.08,24.19681085024102,29.903491216985966,0.5598433289124669,0.005598433289124669,3218.244932807723,18.01712956438754,0.6224337769248253,0.7889447236180905,7.0,14.764079147640787
20260313,09:37:00,2,000420.SZ,0.0,5.01,0.0,0.0,11.206152734530939,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:38:00,1,300981.SZ,0.0,14.85,0.0,0.0,0.5958220606060607,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:38:00,2,000420.SZ,0.0,4.99,0.0,0.0,11.659564048096192,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:39:00,1,300981.SZ,0.0,14.93,0.0,0.0,0.6291453482920295,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:39:00,2,000420.SZ,0.0,5.02,0.0,0.0,12.408830119521912,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:40:00,1,300981.SZ,0.0,14.9,0.0,0.0,0.6538781476510067,0.0,0.0,0.0,0.0,0.0,6.999999999999998,0.0
20260313,09:40:00,2,000420.SZ,0.0,5.06,0.0,0.0,12.594809031620555,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:41:00,1,300981.SZ,7983.030000000001,15.33,21.097754468453374,23.812989252613082,0.6871687181996087,0.006871687181996087,4629.629629629628,31.813366583315204,0.8364435241534306,0.9145728643216081,6.999999999999998,16.666666666666664
20260313,09:41:00,2,000420.SZ,0.0,5.03,0.0,0.0,12.9986339860835,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:42:00,1,300981.SZ,4337.71,15.08,18.767101727220123,22.490525880493465,0.7218175364721485,0.007218175364721485,3218.244932807723,23.22985629163246,0.6224337769248253,0.7889447236180905,6.999999999999985,14.764079147640787
20260313,09:42:00,2,000420.SZ,0.0,5.03,0.0,0.0,13.274751003976142,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:43:00,1,300981.SZ,12154.630000000001,15.45,19.058730497421994,23.21937134677219,0.7846450161812297,0.007846450161812298,5433.126839453547,42.63075896857702,0.9503800409080573,0.9748743718592962,6.999999999999995,17.57990867579908
20260313,09:43:00,2,000420.SZ,0.0,5.02,0.0,0.0,13.522828605577688,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:44:00,1,300981.SZ,10253.82,15.36,17.817692657347123,22.380352034756722,0.8200765625,0.008200765625,4822.506566646274,39.54824607808954,0.8642458523774647,0.9296482412060298,6.99999999999998,16.89497716894976
20260313,09:44:00,2,000420.SZ,0.0,5.04,0.0,0.0,13.742423323412698,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:45:00,1,300981.SZ,10439.68,15.36,17.50048977124465,21.26693729007316,0.8349407552083333,0.008349407552083334,4822.506566646274,40.26507274752787,0.8642458523774647,0.9296482412060298,6.999999999999876,16.89497716894976
20260313,09:45:00,2,000420.SZ,0.0,5.11,0.0,0.0,13.977836908023484,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:46:00,1,300981.SZ,10960.58,15.36,16.668783415979625,20.9325687511914,0.87660099609375,0.0087660099609375,4822.506566646274,42.27414059990774,0.8642458523774647,0.9296482412060298,6.999999999999787,16.89497716894976
20260313,09:46:00,2,000420.SZ,0.0,5.08,0.0,0.0,14.567598700787402,0.0,0.0,0.0,0.0,0.0,7.0,0.0
20260313,09:47:00,1,300981.SZ,10547.189999999999,15.34,16.40969554351816,19.877622685450735,0.8858036766623207,0.008858036766623207,4693.339241510464,41.57377155953516,0.8456604631196182,0.9195979899497487,6.999999999998845,16.742770167427697
