stock_code,date,time_point,volume_ratio,cumulative_volume,is_limit_up
600984.SH,20260313,09:35,17.653841471387928,163134,False
688455.SH,20260313,09:35,0.0,0,False
605007.SH,20260313,09:35,4.743011332973556,20141,False
601229.SH,20260313,09:35,2.189414015446751,19312,False
603725.SH,20260313,09:35,0.0,0,False
600918.SH,20260313,09:35,3.3745374206020435,15274,False
603248.SH,20260313,09:35,9.428574749427568,30420,True
688557.SH,20260313,09:35,8.720306166353406,3209,False
688523.SH,20260313,09:35,2.766109350675387,5634,False
688138.SH,20260313,09:35,1.8999305072967339,1367,False
600886.SH,20260313,09:35,2.623054906172361,32637,False
600537.SH,20260313,09:35,4.267091531826709,116191,False
605199.SH,20260313,09:35,0.0,0,False
600158.SH,20260313,09:35,3.4743396328277543,38613,False
600543.SH,20260313,09:35,0.0,0,False
603038.SH,20260313,09:35,0.0,0,False
603992.SH,20260313,09:35,13.044444033097014,23490,False
688727.SH,20260313,09:35,2.038098814286333,1176,False
688348.SH,20260313,09:35,4.148856041165075,6541,False
600733.SH,20260313,09:35,2.832178739348551,39721,False
600328.SH,20260313,09:35,6.768843116218082,123526,False
603878.SH,20260313,09:35,1.443355656653162,6956,False
600645.SH,20260313,09:35,3.337044382036046,14962,False
688625.SH,20260313,09:35,1.3426673312552542,752,False
603890.SH,20260313,09:35,1.9668626402993055,4324,False
605277.SH,20260313,09:35,1.8144251095797157,3165,False
688651.SH,20260313,09:35,2.8977844741978567,1763,False
601059.SH,20260313,09:35,2.8367095196332186,4973,False
600848.SH,20260313,09:35,4.14556853860164,7075,False
605123.SH,20260313,09:35,4.13994612774117,2267,False
688571.SH,20260313,09:35,0.0,0,False
603601.SH,20260313,09:35,5.149635652138758,184694,False
600196.SH,20260313,09:35,2.5566019604074572,6651,False
688505.SH,20260313,09:35,0.0,0,False
603286.SH,20260313,09:35,1.867723489159799,1135,False
688599.SH,20260313,09:35,4.041520243644603,54336,False
688182.SH,20260313,09:35,4.16761368018882,3377,False
600511.SH,20260313,09:35,2.7558740054901594,3702,False
