stock_code,open,prev_close,open_change_pct,volume,amount,auction_power,bidVol1,askVol1
300385.SZ,11.31,11.31,0.0,252287,306658600,9.328317951064577,0,0
300932.SZ,14.65,14.63,0.1367053998632917,210154,311417000,9.323557610896962,0,0
002041.SZ,11.39,11.15,2.1524663677130063,793534,919377300,9.172492816665336,0,0
688170.SH,54.8,53.49,2.449055898298738,94142,511496000,9.030445639646562,0,0
600345.SH,43.95,43.82,0.2966681880419958,202510,838893100,9.022266011949545,0,0
002638.SZ,3.52,3.46,1.7341040462427761,1185326,417649600,8.771494839680198,0,0
600152.SH,9.57,9.57,0.0,471269,444055800,8.77010468363503,0,0
300471.SZ,16.33,16.31,0.1226241569589183,332974,523790900,8.75065055718439,0,0
002281.SZ,78.92,78.92,0.0,667626,5332962600,8.669178722387425,0,0
300575.SZ,6.8,6.75,0.740740740740738,283182,200090600,8.5860469231628,0,0
002335.SZ,58.46,57.88,1.0020732550103633,375992,2271707200,8.546626368723402,0,0
600875.SH,43.01,42.21,1.895285477375023,1874618,8288425500,8.514275403412611,0,0
001326.SZ,59.78,59.77,0.01673080140538399,19174,121363700,8.42278798263745,0,0
300890.SZ,30.56,29.64,3.1039136302294135,90492,279027500,8.388637485315636,0,0
300141.SZ,15.5,15.43,0.4536616979909286,206841,331076900,8.384982324637209,0,0
301518.SZ,45.98,45.87,0.23980815347721698,43593,204873700,8.328645870078287,0,0
301227.SZ,34.22,34.11,0.32248607446496463,26836,96680600,8.325540505419871,0,0
300570.SZ,130.0,128.99,0.7830064346073269,162720,2074423700,8.302645504782651,0,0
300939.SZ,37.37,37.37,0.0,98826,371996500,8.295346088662921,0,0
603316.SH,15.41,15.4,0.06493506493506354,203723,334996000,8.226194586881272,0,0
000767.SZ,3.85,3.83,0.522193211488251,2358513,914343300,8.154933706776667,0,0
002208.SZ,15.2,15.05,0.9966777408637779,627587,991407800,8.121711584624483,0,0
603124.SH,112.02,111.62,0.35835871707578526,24561,262887500,8.029894097061883,0,0
300745.SZ,28.0,27.96,0.14306151645207132,120315,315646100,7.974761381630632,0,0
300933.SZ,8.96,8.96,0.0,417716,388330600,7.921993234047546,0,0
000826.SZ,2.48,2.47,0.40485829959513303,1124192,278671100,7.884473131675386,0,0
603032.SH,18.36,17.58,4.436860068259393,176460,333116900,7.831901888344942,0,0
002478.SZ,12.72,12.61,0.8723235527359334,533244,717845100,7.808564271956793,0,0
605366.SH,10.3,10.21,0.8814887365328095,543481,578785600,7.778460112264601,0,0
300001.SZ,31.22,31.02,0.6447453255963871,768293,2496811500,7.752825395422927,0,0
603538.SH,20.59,20.58,0.04859086491740313,154944,342517700,7.694479572127409,0,0
603880.SH,6.36,6.33,0.4739336492891035,206524,141079900,7.674446694195472,0,0
603082.SH,38.76,38.39,0.9637926543370603,30227,119411000,7.5961899301149,0,0
301419.SZ,35.5,35.15,0.9957325746799472,57930,213892800,7.59537065218306,0,0
600452.SH,14.74,14.48,1.7955801104972362,1127124,1718875300,7.5893144833915684,0,0
001314.SZ,45.4,45.31,0.19863164864267557,37198,174738900,7.42938294489115,0,0
002953.SZ,13.03,13.02,0.0768049155145913,156101,205295000,7.407979953706296,0,0
300135.SZ,4.45,4.41,0.9070294784580506,690232,303678800,7.404777231585519,0,0
300736.SZ,19.49,19.16,1.722338204592893,91446,180258200,7.393901542319724,0,0
600371.SH,9.42,9.4,0.21276595744680396,210348,202524400,7.348264572240513,0,0
301071.SZ,47.8,47.55,0.5257623554153523,142600,678679400,7.296371739411582,0,0
300066.SZ,7.54,7.49,0.667556742323095,710813,552773400,7.288136776968032,0,0
000591.SZ,6.15,6.07,1.3179571663920933,2806388,1751554900,7.258892568972232,0,0
301588.SZ,25.41,25.4,0.03937007874016364,50537,134917900,7.237864055574004,0,0
300057.SZ,6.350000000000001,6.13,3.588907014681917,525823,330988100,7.188079918843608,0,0
002903.SZ,25.23,25.22,0.03965107057891183,76442,193327600,7.185279202831545,0,0
001230.SZ,26.53,26.4,0.4924242424242521,54361,149549000,7.175627420812488,0,0
688485.SH,26.25,26.17,0.305693542223914,63479,166067200,7.12766296209398,0,0
301378.SZ,34.39,34.39,0.0,31766,112119400,7.10065540201925,0,0
002913.SZ,48.84,48.29,1.1389521640091205,203437,1036349500,7.033624073140869,0,0
301282.SZ,29.6,29.51,0.3049813622500842,80105,244235300,7.017384991280111,0,0
000722.SZ,13.64,13.61,0.2204261572373339,317088,442770900,6.993564681760726,0,0
300870.SZ,296.01,293.21,0.9549469663381234,76241,2274708600,6.942686905374322,0,0
600602.SH,20.15,19.8,1.7676767676767569,731887,1498014800,6.920130256092998,0,0
600216.SH,17.04,17.04,0.0,626852,1121238000,6.916237129139573,0,0
300980.SZ,36.72,35.45,3.582510578279255,67842,248880400,6.892097695189485,0,0
688110.SH,136.88,135.59,0.951397595692892,291003,4162533800,6.8762264814398355,0,0
002448.SZ,16.76,16.28,2.948402948402951,298279,523956400,6.8627327675298595,0,0
300882.SZ,24.75,24.74,0.0404203718674275,180438,451685300,6.8524441965620655,0,0
600821.SH,8.07,7.82,3.1969309462915603,1293714,1097969900,6.812108311792688,0,0
002428.SZ,44.43,44.19,0.5431093007467798,453404,1971452700,6.794745184793329,0,0
688693.SH,40.08,39.68,1.0080645161290287,25237,105650200,6.775537176661074,0,0
002628.SZ,5.38,5.34,0.7490636704119857,501419,274034000,6.757324848842204,0,0
301390.SZ,40.0,39.96,0.10010010010009797,18815,78358700,6.743264282859673,0,0
002121.SZ,9.65,9.65,0.0,940120,910524700,6.740008654916123,0,0
301178.SZ,47.71,47.6,0.2310924369747887,31289,159067400,6.7386699071734295,0,0
301046.SZ,26.4,25.81,2.285935683843471,84761,228239800,6.711507338024628,0,0
301560.SZ,38.7,38.7,0.0,16069,62912300,6.6843783999727995,0,0
300286.SZ,31.43,31.42,0.03182686187141314,137668,443118500,6.655630533406984,0,0
603608.SH,12.15,12.14,0.08237232289950401,270348,338913200,6.6459271087019225,0,0
601868.SH,2.66,2.63,1.1406844106463974,20273146,5729469400,6.642060980124648,0,0
301535.SZ,26.13,26.08,0.19171779141104567,40677,110295000,6.616613671107784,0,0
603878.SH,9.19,9.19,0.0,359035,340681200,6.606377123582247,0,0
600131.SH,20.0,19.95,0.2506265664160437,731276,1562188400,6.531405945138212,0,0
688479.SH,32.45,32.2,0.7763975155279502,40475,131265100,6.491203838267936,0,0
001216.SZ,19.09,19.08,0.05241090146751344,150966,303892900,6.482895614570294,0,0
600359.SH,7.78,7.72,0.7772020725388666,244425,192175700,6.474552227794702,0,0
300881.SZ,51.42,51.42,0.0,36837,190588200,6.456613028319092,0,0
002356.SZ,4.43,4.43,0.0,848615,374871300,6.453479748121485,0,0
002757.SZ,20.99,20.77,1.0592200288878135,179716,378862900,6.399374098598172,0,0
002015.SZ,14.62,14.2,2.957746478873239,985588,1505216100,6.34229018056023,0,0
301018.SZ,103.09,102.73,0.35043317434050364,123503,1299482800,6.3343520718782615,0,0
603312.SH,46.05,46.0,0.10869565217390686,31225,147938500,6.309100505973113,0,0
000019.SZ,7.23,7.19,0.5563282336578587,257306,188930300,6.278329736986805,0,0
300137.SZ,11.81,11.77,0.3398470688190393,323484,389714800,6.225771621406335,0,0
600618.SH,15.14,14.88,1.7473118279569877,450948,699323100,6.160038248786028,0,0
301567.SZ,48.95,48.65,0.6166495375128557,13020,63721200,6.128861458967182,0,0
600080.SH,8.22,8.2,0.24390243902440673,216527,187944200,6.125389249118123,0,0
688805.SH,43.66,43.5,0.36781609195401516,18721,84259800,6.1230274324309475,0,0
300990.SZ,92.09,91.94,0.1631498803567606,46901,434667600,6.120134490435697,0,0
600261.SH,4.01,3.97,1.007556675062962,814288,323623600,6.0450140710651645,0,0
000636.SZ,23.75,23.75,0.0,702972,1659491700,6.039112956752756,0,0
601226.SH,12.07,11.82,2.1150592216582065,726436,844267200,6.018425927279425,0,0
603363.SH,4.14,4.14,0.0,1235388,529868600,6.010471062828148,0,0
603285.SH,35.2,34.33,2.5342266239440856,35432,130539000,5.952947035435568,0,0
301105.SZ,53.34,53.32,0.03750937734434195,9493,51743400,5.901552356563499,0,0
603895.SH,30.58,29.39,4.048996257230343,62027,194979700,5.89938284215505,0,0
301439.SZ,17.39,17.35,0.23054755043227174,107563,187829200,5.894226674266338,0,0
301193.SZ,28.87,28.87,0.0,82680,235290100,5.885379082992815,0,0
300641.SZ,18.38,18.38,0.0,287239,568492400,5.88531082497721,0,0
603158.SH,9.98,9.96,0.20080321285140132,269236,288039200,5.8808881111027045,0,0
000520.SZ,4.45,4.44,0.2252252252252204,579819,264656600,5.876332921421679,0,0
300686.SZ,14.99,14.97,0.13360053440213476,95559,149431000,5.874180577073259,0,0
300481.SZ,17.09,17.04,0.29342723004695254,162036,289182100,5.83335100069943,0,0
003011.SZ,25.89,25.85,0.15473887814313017,43390,117753200,5.82441226531281,0,0
