排名,股票代码,最新价,昨收价,涨跌幅(%),竞价量,竞价额,买盘,卖盘,时间
3020,000868.SZ,4.94,4.94,0.00,207,102300.00,2870,3362,09:26:17
3021,000595.SZ,6.100000000000001,6.1,0.00,206,125700.00,1741,1452,09:26:17
3022,688523.SH,59.65,59.53,0.20,206,1226200.00,35,16,09:26:16
3023,603893.SH,181.6,182.65,-0.57,206,3741000.00,10,5,09:26:17
3024,000605.SZ,7.28,7.28,0.00,206,150000.00,508,1085,09:26:17
3025,300446.SZ,23.66,23.67,-0.04,206,487400.00,69,100,09:26:17
3026,600125.SH,6.4,6.41,-0.16,205,131200.00,1001,1077,09:26:17
3027,600596.SH,12.57,12.63,-0.48,205,257700.00,322,99,09:26:16
3028,300068.SZ,15.29,15.28,0.07,205,313400.00,136,447,09:26:17
3029,600051.SH,8.17,8.17,0.00,205,167500.00,390,136,09:26:14
3030,002318.SZ,34.49,34.45,0.12,205,707000.00,99,282,09:26:17
3031,300850.SZ,43.09,43.09,0.00,205,883300.00,37,187,09:26:17
3032,601163.SH,15.29,15.29,0.00,205,313400.00,220,240,09:26:16
3033,688206.SH,35.87,35.88,-0.03,205,734900.00,107,65,09:26:16
3034,301285.SZ,74.31,74.3,0.01,205,1523400.00,26,34,09:26:17
3035,002973.SZ,15.24,15.12,0.79,205,312400.00,300,115,09:26:17
3036,688123.SH,147.83,149.01,-0.79,205,3037000.00,17,59,09:26:17
3037,002818.SZ,11.81,11.79,0.17,205,242100.00,350,391,09:26:17
3038,603683.SH,24.9,24.9,0.00,205,510500.00,63,130,09:26:16
3039,300702.SZ,25.84,25.57,1.06,204,527100.00,41,35,09:26:17
3040,603439.SH,12.26,12.23,0.25,204,250100.00,72,68,09:26:17
3041,600761.SH,22.42,22.43,-0.04,204,457400.00,65,122,09:26:16
3042,002861.SZ,20.12,20.16,-0.20,204,410400.00,66,118,09:26:17
3043,002242.SZ,10.62,10.67,-0.47,203,215600.00,334,402,09:26:17
3044,300517.SZ,12.64,12.62,0.16,203,256600.00,900,195,09:26:17
3045,601279.SH,4.62,4.62,0.00,203,93800.00,1014,754,09:26:17
3046,301036.SZ,34.79,35.08,-0.83,203,706200.00,20,105,09:26:17
3047,300046.SZ,35.99,36.06,-0.19,203,730600.00,21,322,09:26:17
3048,002371.SZ,478.8,482.9,-0.85,203,9702400.00,14,111,09:26:17
3049,603818.SH,4,4.03,-0.74,203,81200.00,436,1521,09:26:16
3050,002568.SZ,20.91,20.88,0.14,202,422400.00,185,321,09:26:17
3051,688800.SH,80.60000000000001,81.2,-0.74,202,1626100.00,119,28,09:26:17
3052,002088.SZ,12.51,12.45,0.48,202,252700.00,341,52,09:26:17
3053,603211.SH,22.22,22.16,0.27,202,448800.00,38,63,09:26:16
3054,002862.SZ,19.46,19.56,-0.51,202,393100.00,45,19,09:26:17
3055,002369.SZ,8.31,8.31,0.00,202,167900.00,273,177,09:26:17
3056,688334.SH,24.03,24.1,-0.29,202,485400.00,123,69,09:26:17
3057,603297.SH,115.21,114.97,0.21,202,2327200.00,18,62,09:26:17
3058,600628.SH,8.040000000000001,8.04,0.00,202,162400.00,1446,547,09:26:16
3059,600456.SH,37.53,37.56,-0.08,202,758100.00,34,289,09:26:17
3060,603090.SH,72,71.69,0.43,201,1447200.00,46,38,09:26:16
3061,300718.SZ,80.4,80.59,-0.24,201,1616000.00,48,25,09:26:17
3062,002877.SZ,9.58,9.59,-0.10,201,192600.00,100,828,09:26:17
3063,600476.SH,14.61,14.6,0.07,201,293700.00,187,493,09:26:17
3064,300782.SZ,75.5,75.5,0.00,201,1517600.00,90,57,09:26:17
3065,000993.SZ,12.16,12.14,0.16,200,243200.00,156,261,09:26:17
3066,688200.SH,308.99,307.73,0.41,200,6175500.00,28,28,09:26:16
3067,688208.SH,34.85,34.97,-0.34,200,697700.00,422,313,09:26:17
3068,605151.SH,21.17,21.28,-0.52,200,423400.00,30,296,09:26:16
3069,603267.SH,55.88,56.08,-0.36,200,1117600.00,59,14,09:26:17
3070,688687.SH,22.23,22.12,0.50,200,443800.00,94,115,09:26:16
3071,600713.SH,5.600000000000001,5.6,0.00,200,112000.00,2452,692,09:26:16
3072,300374.SZ,16.35,16.33,0.12,200,327000.00,110,170,09:26:17
3073,603106.SH,10.58,10.59,-0.09,199,210500.00,401,103,09:26:17
3074,300559.SZ,12.63,12.67,-0.32,199,251300.00,235,223,09:26:17
3075,002986.SZ,12.69,12.65,0.32,198,251300.00,29,172,09:26:17
3076,300765.SZ,35.79,35.79,0.00,198,708600.00,799,147,09:26:17
