stock,fri_atr_ratio,fri_vol_ratio,fri_amt_ratio,fri_change,mon_atr_ratio,mon_vol_ratio,mon_amt_ratio,mon_change,has_fri_signal,is_mon_breakout,prepos_signal
300922.SZ,0.695,0.989,0.988,-0.77,1.504,4.827,5.005,4.21,False,False,False
300088.SZ,0.67,0.8,0.827,0.73,0.826,1.115,1.132,-2.62,False,False,False
300493.SZ,0.956,0.934,0.93,-0.25,1.178,1.338,1.281,-5.47,False,False,False
301608.SZ,0.701,0.876,0.878,-1.59,2.129,1.475,1.428,-5.01,False,False,False
301213.SZ,0.425,0.503,0.491,-0.24,2.214,2.94,3.328,20.01,False,True,False
300956.SZ,0.598,0.666,0.674,-0.16,2.019,1.341,1.312,-4.65,False,False,False
301267.SZ,0.476,0.83,0.823,-0.32,1.298,1.164,1.124,-2.94,False,False,False
002638.SZ,0.752,0.906,0.931,-0.31,0.936,1.183,1.207,-1.89,False,False,False
002223.SZ,0.766,0.747,0.719,1.55,0.821,1.152,1.092,-1.91,False,False,False
300014.SZ,0.42,0.607,0.59,0.27,0.928,0.764,0.739,-1.48,False,False,False
002463.SZ,0.825,1.743,2.013,-2.06,0.559,1.307,1.473,-2.07,False,False,False
002078.SZ,0.703,0.794,0.824,-0.92,1.201,1.232,1.28,-0.12,False,False,False
300654.SZ,0.788,0.804,0.822,1.45,0.638,0.568,0.562,-3.09,False,False,False
300620.SZ,0.418,0.634,0.616,-2.93,1.042,0.803,0.806,2.74,False,False,False
001380.SZ,0.699,0.791,0.78,-0.93,1.74,1.311,1.258,-3.84,False,False,False
002090.SZ,0.567,0.754,0.765,0.0,1.306,1.01,1.008,-2.74,False,False,False
000859.SZ,0.643,0.765,0.807,-1.16,0.592,0.787,0.8,-4.29,False,False,False
001368.SZ,0.432,0.496,0.457,0.22,1.154,0.714,0.648,-2.58,False,False,False
301048.SZ,0.812,1.01,1.007,0.86,1.513,1.091,1.076,-2.12,False,False,False
002838.SZ,0.832,0.756,0.755,1.32,1.544,1.065,1.021,-4.53,False,False,False
301525.SZ,0.407,0.426,0.409,-0.54,0.715,0.513,0.488,-2.39,False,False,False
002192.SZ,0.986,1.357,1.409,2.23,1.199,1.231,1.274,-2.08,False,False,False
002589.SZ,0.421,0.444,0.423,0.0,1.429,0.93,0.858,-4.22,False,False,False
301551.SZ,0.194,0.398,0.376,-0.14,0.949,0.625,0.567,-4.64,False,False,False
300756.SZ,0.504,0.516,0.499,-1.43,1.593,1.208,1.123,-5.17,False,False,False
002561.SZ,0.544,0.443,0.429,0.34,0.927,0.76,0.723,-2.18,False,False,False
000019.SZ,0.614,0.72,0.719,0.98,1.083,1.791,1.828,2.08,False,False,False
000402.SZ,0.38,0.457,0.45,0.71,0.645,0.746,0.727,-1.77,False,False,False
300722.SZ,0.513,0.809,0.804,-0.57,2.381,4.28,4.481,7.28,False,True,False
001282.SZ,3.514,5.201,5.546,6.36,3.706,8.804,9.93,4.4,True,False,False
300339.SZ,2.664,2.76,2.796,5.61,1.039,1.844,1.779,-5.08,True,False,False
002515.SZ,0.914,0.751,0.753,0.33,1.328,1.232,1.202,-2.48,False,False,False
002396.SZ,1.332,1.185,1.253,0.78,0.974,1.057,1.118,-2.25,True,False,False
300897.SZ,1.054,1.311,1.37,2.8,1.249,1.278,1.294,-4.95,False,False,False
000672.SZ,1.487,1.491,1.459,-5.75,1.192,1.123,1.091,2.13,True,False,False
300149.SZ,0.689,0.662,0.653,1.31,1.65,1.107,1.051,-4.26,False,False,False
300552.SZ,0.826,0.736,0.745,-0.32,1.167,0.988,0.956,-5.65,False,False,False
002765.SZ,0.322,0.593,0.574,0.43,1.449,1.438,1.35,-3.82,False,False,False
300995.SZ,0.56,0.655,0.662,0.46,0.972,1.049,1.052,-1.76,False,False,False
002208.SZ,0.519,0.566,0.593,0.84,0.571,0.614,0.636,-1.35,False,False,False
