code,name,date,label,success,sustain_score,env_score,is_true_breakout,confidence,pnl_pct,max_drawdown,data_source,sustain_duration
002837,英维克,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002837,英维克,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002837,英维克,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300986,志特新材,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300986,志特新材,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300986,志特新材,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301171,易点天下,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301171,易点天下,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301171,易点天下,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002703,浙江世宝,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002703,浙江世宝,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002703,浙江世宝,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002413,雷科防务,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002413,雷科防务,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002413,雷科防务,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603122,合富中国,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603122,合富中国,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603122,合富中国,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
001208,华菱线缆,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
001208,华菱线缆,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
001208,华菱线缆,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002759,天际股份,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002759,天际股份,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002759,天际股份,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300442,润泽科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300442,润泽科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300442,润泽科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002639,雪人集团,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002639,雪人集团,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002639,雪人集团,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002788,鹭燕医药,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002788,鹭燕医药,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002788,鹭燕医药,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300762,上海瀚讯,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300762,上海瀚讯,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300762,上海瀚讯,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002342,巨力索具,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002342,巨力索具,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
002342,巨力索具,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300115,长盈精密,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300115,长盈精密,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300115,长盈精密,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300548,长芯博创,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300548,长芯博创,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300548,长芯博创,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300308,中际旭创,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300308,中际旭创,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
300308,中际旭创,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603667,五洲新春,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603667,五洲新春,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
603667,五洲新春,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301308,江波龙,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301308,江波龙,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
301308,江波龙,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
688270,臻镭科技,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
688270,臻镭科技,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
688270,臻镭科技,2026-02-18,待检测,True,0.0,0.0,,0.0,0,0,tick,0
601138,工业富联,2026-02-20,待检测,True,0.0,0.0,,0.0,0,0,tick,0
601138,工业富联,2026-02-19,待检测,True,0.0,0.0,,0.0,0,0,tick,0
