time,price,band_gain_pct,true_gain_pct,flow_1min,volume_1min,price_change_1min,flow_5min,volume_5min,price_change_5min,flow_15min,volume_15min,price_change_15min
09:48:00,12.71,7.98640611724725,10.714285714285717,18692796.0,59498.0,0.1576044129235725,30960928.999999996,234955.0,-0.31372549019607177,342659584.0,1085826.0,5.4771784232365155
09:48:03,12.73,8.156329651656762,10.888501742160278,26304063.0,64062.0,0.315208825847131,38572196.0,238465.0,-0.0784929356357911,342427506.0,1085296.0,5.5555555555555545
09:48:06,12.68,7.731520815632967,10.452961672473862,24674683.0,59741.0,-0.9375000000000078,43510286.0,234595.0,-0.7047768206734523,336970282.0,1083407.0,5.228215767634846
09:48:09,12.69,7.816482582837722,10.54006968641114,6666560.000000001,45680.0,-0.8593750000000094,40608023.0,232328.0,-0.6264682850430703,341273929.0,1081710.0,5.311203319502064
09:48:12,12.65,7.476635514018698,10.19163763066202,5191570.000000001,35497.0,-1.1718750000000027,39133033.0,224600.0,-0.7064364207221339,339798939.0,1079223.0,5.066445182724263
09:48:15,12.68,7.731520815632967,10.452961672473862,6336574.000000001,32859.0,-0.5490196078431395,44763791.0,221982.0,-0.23603461841070916,344263371.0,1077369.0,4.5342126957955395
09:48:18,12.67,7.64655904842821,10.365853658536581,8408614.0,31235.0,-0.6274509803921574,45496607.0,221406.0,-0.5494505494505517,329330112.0,1065426.0,4.537953795379544
09:48:21,12.64,7.391673746813943,10.104529616724738,6743926.0,31437.0,-0.6289308176100634,38369007.0,218435.0,-0.4724409448818797,331450500.0,1063620.0,4.204451772464961
09:48:24,12.63,7.306711979609186,10.01742160278746,6387487.0,31723.0,-0.6294256490952012,38960196.0,217974.0,-0.7855459544383319,328601555.0,1062939.0,4.036243822075784
09:48:27,12.63,7.306711979609186,10.01742160278746,8677829.0,31458.0,-0.6294256490952012,35546010.0,216829.0,-0.7855459544383319,326659155.0,1062876.0,4.036243822075784
09:48:30,12.62,7.221750212404415,9.930313588850163,7317393.0,31570.0,-0.6299212598425202,34185574.0,215444.0,-0.8641005498821775,325298719.0,1062940.0,4.2113955408753085
09:48:33,12.61,7.136788445199659,9.843205574912883,6829633.0,31962.0,-0.630417651694248,32773254.0,209357.0,-1.098039215686279,327776131.0,1060848.0,3.9571310799670125
09:48:36,12.61,7.136788445199659,9.843205574912883,7885441.0,32579.0,-0.5520504731861222,29650779.0,208357.0,-1.0204081632653124,326521889.0,1061263.0,4.128819157720892
09:48:39,12.61,7.136788445199659,9.843205574912883,8686817.0,32503.0,-0.5520504731861222,31863717.0,207176.0,-0.9426551453260092,327696559.0,1060849.0,3.9571310799670125
09:48:42,12.6,7.051826677994903,9.756097560975602,7498637.0,32215.0,-0.6309148264984233,34784781.0,204891.0,-1.021209740769841,325428809.0,1060902.0,3.874690849134368
09:48:45,12.6,7.051826677994903,9.756097560975602,7498637.0,32011.0,-0.6309148264984233,34784781.0,205428.0,-1.021209740769841,325428809.0,1058297.0,3.874690849134368
09:48:48,12.6,7.051826677994903,9.756097560975602,7498637.0,30868.0,-0.5524861878453061,34784781.0,204050.0,-1.021209740769841,325428809.0,1055974.0,3.7891268533772573
09:48:51,12.58,6.881903143585391,9.581881533101042,3673717.0,33914.0,-0.5533596837944686,29981737.0,207092.0,-1.1006289308176145,317995027.0,1057625.0,3.539094650205759
09:48:54,12.59,6.966864910790147,9.668989547038322,4832917.0,33686.0,-0.6314127861089193,32745124.0,205606.0,-1.0220125786163583,314777092.0,1054964.0,3.621399176954728
09:48:57,12.59,6.966864910790147,9.668989547038322,3911808.0,33593.0,-0.9441384736428088,32745124.0,204210.0,-0.8661417322834603,314777092.0,1051735.0,3.621399176954728
09:49:00,12.59,6.966864910790147,9.668989547038322,-4443746.0,28906.0,-0.9441384736428088,33302654.0,205658.0,-0.8661417322834603,314777092.0,1052058.0,2.943581357318066
09:49:03,12.58,6.881903143585391,9.581881533101042,-9694638.0,31245.0,-1.1783189316575047,28051762.0,207117.0,-0.7103393843725324,293612524.0,1043220.0,3.1993437243642378
09:49:06,12.58,6.881903143585391,9.581881533101042,-17305905.0,26135.0,-0.7886435331230256,30281682.0,206226.0,-0.7103393843725324,298102101.0,1040406.0,2.8618152085036765
09:49:09,12.58,6.881903143585391,9.581881533101042,-15676525.0,27560.0,-0.8668242710795857,30281682.0,208507.0,-0.6319115323854665,295449414.0,1040947.0,2.9459901800327284
09:49:12,12.58,6.881903143585391,9.581881533101042,-16835122.0,28790.0,-0.5533596837944686,33872058.0,207814.0,-0.6319115323854665,296247380.0,1042437.0,2.8618152085036765
09:49:15,12.58,6.881903143585391,9.581881533101042,-15360132.0,29018.0,-0.7886435331230256,33872058.0,207872.0,-0.39588281868567465,295047617.0,1042850.0,3.0303030303030236
09:49:18,12.58,6.881903143585391,9.581881533101042,-16505136.0,28966.0,-0.7103393843725324,34681641.0,208082.0,-0.15873015873015534,296146517.0,1042801.0,2.9459901800327284
09:49:21,12.61,7.136788445199659,9.843205574912883,-13265808.0,31174.0,-0.23734177215190772,39102849.0,209351.0,-0.1583531274742783,295604209.0,1042281.0,3.191489361702118
09:49:24,12.66,7.561597281223455,10.2787456445993,-6205428.0,34119.0,0.23752969121139636,43353000.0,212706.0,0.39651070578906195,300999901.0,1043622.0,3.6855036855036793
09:49:27,12.64,7.391673746813943,10.104529616724738,-7422213.0,35081.0,0.07917656373713211,42345168.0,213501.0,0.39714058776807554,302763451.0,1042115.0,3.3524121013900254
09:49:30,12.62,7.221750212404415,9.930313588850163,-8019139.0,34017.0,0.0,43407604.0,212656.0,0.31796502384737,300082533.0,1040884.0,3.357903357903344
09:49:33,12.62,7.221750212404415,9.930313588850163,-6658703.0,34838.0,0.07930214115780956,44681958.0,213542.0,0.15873015873015534,303208293.0,1040223.0,3.357903357903344
09:49:36,12.6,7.051826677994903,9.756097560975602,-6229183.0,34498.0,-0.07930214115780956,41378238.0,212480.0,0.158982511923685,302225493.0,1035817.0,3.0253475061324546
09:49:39,12.58,6.881903143585391,9.581881533101042,-8360235.0,34743.0,-0.23790642347342872,43344492.0,210917.0,-0.39588281868567465,298171885.0,1035939.0,2.8618152085036765
09:49:42,12.59,6.966864910790147,9.668989547038322,-7818865.0,34617.0,-0.07936507936507767,39423683.0,207814.0,-0.07936507936507767,298713255.0,1029569.0,2.7755102040816317
09:49:45,12.57,6.796941376380635,9.494773519163761,-8044810.0,34799.0,-0.23809523809523303,47284418.0,201578.0,-0.23809523809523303,290470980.0,1025120.0,2.7800490596892873
09:49:48,12.58,6.881903143585391,9.581881533101042,-7084956.0,34597.0,-0.15873015873015534,48244272.0,200612.0,-0.15873015873015534,293293463.0,1024360.0,2.8618152085036765
09:49:51,12.57,6.796941376380635,9.494773519163761,-11700660.0,38090.0,-0.0794912559618425,43628568.0,201680.0,-0.23809523809523303,288677759.0,1025985.0,2.6960784313725497
09:49:54,12.58,6.881903143585391,9.581881533101042,-5572942.0,35325.0,-0.07942811755361229,44953242.0,200797.0,-0.15873015873015534,286889801.0,1024495.0,2.8618152085036765
09:49:57,12.58,6.881903143585391,9.581881533101042,-6007297.0,36345.0,-0.07942811755361229,44953242.0,199986.0,-0.15873015873015534,288028414.0,1024929.0,2.8618152085036765
09:50:00,12.58,6.881903143585391,9.581881533101042,-6007297.0,36506.0,-0.07942811755361229,44953242.0,198040.0,-0.15873015873015534,288028414.0,1022059.0,2.8618152085036765
09:50:03,12.61,7.136788445199659,9.843205574912883,-1511832.0,38184.0,0.2384737678855275,49448707.0,200218.0,0.0,292523879.0,1022699.0,3.107113654946844
09:50:06,12.59,6.966864910790147,9.668989547038322,2292469.0,35159.0,0.0794912559618425,36114669.0,191940.0,-0.2377179080824038,291077288.0,1021372.0,3.0278232405891914
09:50:09,12.61,7.136788445199659,9.843205574912883,3254612.0,35053.0,0.2384737678855275,35784524.0,191679.0,-0.07923930269413461,294919685.0,1019778.0,2.8548123980424114
09:50:12,12.61,7.136788445199659,9.843205574912883,3254612.0,34629.0,0.2384737678855275,35784524.0,192958.0,-0.23734177215190772,280824363.0,1010567.0,2.7709861450692737
09:50:15,12.6,7.051826677994903,9.756097560975602,1173092.0,34138.0,0.158982511923685,32963564.0,194025.0,-0.2375296912114104,275667981.0,1009713.0,2.689486552567238
09:50:18,12.6,7.051826677994903,9.756097560975602,1173092.0,33715.0,0.158982511923685,34063637.0,194125.0,0.0,275667981.0,1007062.0,2.689486552567238
09:50:21,12.6,7.051826677994903,9.756097560975602,1173092.0,33994.0,-0.07930214115780956,36723497.0,193144.0,0.0,275667981.0,1006479.0,2.689486552567238
09:50:24,12.59,6.966864910790147,9.668989547038322,-3760669.0,33133.0,-0.552922590837285,34801004.0,193654.0,-0.15860428231561913,273745488.0,1006403.0,2.607986960065202
09:50:27,12.59,6.966864910790147,9.668989547038322,-9156361.0,30496.0,-0.3955696202531701,33357159.0,194134.0,-0.07936507936507767,273745488.0,1006705.0,2.4410089503661574
09:50:30,12.59,6.966864910790147,9.668989547038322,-6907705.0,29666.0,-0.2377179080824038,35409699.0,193454.0,-0.07936507936507767,267056041.0,1002211.0,2.27457351746547
09:50:33,12.62,7.221750212404415,9.930313588850163,-5466501.0,29862.0,0.0,36253977.0,192540.0,0.31796502384737,257156151.0,994152.0,2.5182778229081944
09:50:36,12.6,7.051826677994903,9.756097560975602,-5831901.0,28253.0,0.0,37891313.0,191238.0,0.158982511923685,256790751.0,988126.0,2.2727272727272676
09:50:39,12.6,7.051826677994903,9.756097560975602,-4849101.0,29033.0,0.158982511923685,37891313.0,191630.0,0.158982511923685,249885391.0,984081.0,1.7770597738287468
09:50:42,12.61,7.136788445199659,9.843205574912883,193600.0,29648.0,0.15885623510722457,40802962.0,193303.0,0.2384737678855275,250746912.0,984734.0,1.8578352180936886
09:50:45,12.6,7.051826677994903,9.756097560975602,-1241110.0,29927.0,0.23866348448686842,39909622.0,193148.0,0.0,249853572.0,980434.0,2.1897810218978067
09:50:48,12.62,7.221750212404415,9.930313588850163,4463815.0,32202.0,0.31796502384737,41345262.0,194282.0,0.31796502384737,265327682.0,974764.0,2.2690437601296543
09:50:51,12.64,7.391673746813943,10.104529616724738,4750265.0,32425.0,0.5568814638027071,43577838.0,194484.0,0.39714058776807554,262594336.0,972525.0,2.2653721682847987
09:50:54,12.62,7.221750212404415,9.930313588850163,8232693.0,29651.0,0.31796502384737,41569557.0,194687.0,0.31796502384737,256619648.0,969506.0,2.186234817813762
09:50:57,12.64,7.391673746813943,10.104529616724738,13115523.0,33509.0,0.47694753577106913,49267791.0,198413.0,0.47694753577106913,264420302.0,973127.0,2.5974025974025996
09:51:00,12.67,7.64655904842821,10.365853658536581,15012222.0,33641.0,0.7154213036565967,51164490.0,199051.0,0.7154213036565967,268538297.0,972821.0,1.6038492381716059
