code,name,price,change_pct,sector,limit_up_days,first_time,last_time,open_count,date,source,m,amount,ltsz,tshare,hs,lbc,fbt,lbt,fund,zbc,limit_up_count
601360,三六零,12.91,9.96592903137207,软件开发,1,131020.0,133802.0,2.0,20260209,akshare_em,,,,,,,,,,,
600185,珠免集团,8.28,9.960159301757812,旅游零售,1,131710.0,140552.0,2.0,20260209,akshare_em,,,,,,,,,,,
2716,湖南白银,14.12,9.968847274780272,贵金属,1,131839.0,140109.0,2.0,20260209,akshare_em,,,,,,,,,,,
300480,光力科技,26.62,20.01803398132324,专用设备,1,132409.0,141803.0,2.0,20260209,akshare_em,,,,,,,,,,,
301232,飞沃科技,231.04,20.002077102661133,风电设备,1,133736.0,144915.0,1.0,20260209,akshare_em,,,,,,,,,,,
605566,福莱蒽特,34.19,10.00643539428711,化学制品,1,133905.0,133905.0,0.0,20260209,akshare_em,,,,,,,,,,,
600683,京投发展,6.66,10.082645416259766,房地产开,1,135309.0,144703.0,3.0,20260209,akshare_em,,,,,,,,,,,
2471,中超控股,10.75,10.030706405639648,电网设备,1,142824.0,142824.0,0.0,20260209,akshare_em,,,,,,,,,,,
525,红太阳,6.72,9.983633041381836,农化制品,1,142906.0,143409.0,2.0,20260209,akshare_em,,,,,,,,,,,
688435,英方软件,64.86,20.0,软件开发,1,142925.0,144625.0,1.0,20260209,akshare_em,,,,,,,,,,,
1217,华尔泰,14.07,10.007819175720217,化学原料,1,143448.0,143448.0,0.0,20260209,akshare_em,,,,,,,,,,,
603616,韩建河山,9.12,10.012063026428224,水泥,4,144137.0,144201.0,1.0,20260209,akshare_em,,,,,,,,,,,
2830,名雕股份,30.65,10.014357566833496,装修装饰,1,92500.0,103757.0,1.0,20260206,akshare_em,,,,,,,,,,,
2728,特一药业,13.15,10.041841506958008,中药Ⅱ,1,92500.0,95218.0,1.0,20260206,akshare_em,,,,,,,,,,,
300912,凯龙高科,34.3,20.01399612426757,汽车零部,3,92500.0,92500.0,0.0,20260206,akshare_em,,,,,,,,,,,
3018,金富科技,20.54,10.016068458557127,包装印刷,2,92500.0,92500.0,0.0,20260206,akshare_em,,,,,,,,,,,
600814,杭州解百,10.78,10.0,一般零售,3,92501.0,94804.0,1.0,20260206,akshare_em,,,,,,,,,,,
603616,韩建河山,8.29,9.94694995880127,水泥,3,92503.0,95348.0,1.0,20260206,akshare_em,,,,,,,,,,,
56,皇庭国际,2.28,10.144927024841309,房地产服,2,93203.0,94830.0,2.0,20260206,akshare_em,,,,,,,,,,,
2634,棒杰股份,6.9,10.047846794128418,服装家纺,1,93324.0,93324.0,0.0,20260206,akshare_em,,,,,,,,,,,
2412,汉森制药,7.59,10.0,中药Ⅱ,1,93418.0,112218.0,11.0,20260206,akshare_em,,,,,,,,,,,
2054,德美化工,10.05,9.956235885620115,化学制品,1,93621.0,101518.0,2.0,20260206,akshare_em,,,,,,,,,,,
2339,积成电子,12.76,10.0,电网设备,1,93627.0,94106.0,1.0,20260206,akshare_em,,,,,,,,,,,
603618,杭电股份,13.71,10.032102584838867,电网设备,1,93816.0,150000.0,1.0,20260206,akshare_em,,,,,,,,,,,
1360,南矿集团,25.52,10.0,专用设备,1,93830.0,93830.0,0.0,20260206,akshare_em,,,,,,,,,,,
2921,联诚精密,25.73,10.00427532196045,汽车零部,1,94003.0,94003.0,0.0,20260206,akshare_em,,,,,,,,,,,
603138,海量数据,18.22,10.024154663085938,IT服务Ⅱ,1,94032.0,110614.0,1.0,20260206,akshare_em,,,,,,,,,,,
600345,长江通信,40.0,10.011000633239746,通信设备,1,94116.0,102843.0,1.0,20260206,akshare_em,,,,,,,,,,,
2455,百川股份,11.14,9.97038459777832,化学制品,1,94627.0,95630.0,5.0,20260206,akshare_em,,,,,,,,,,,
2440,闰土股份,13.21,9.991673469543455,化学制品,1,94851.0,100042.0,2.0,20260206,akshare_em,,,,,,,,,,,
767,晋控电力,3.42,9.967845916748049,电力,1,95048.0,104042.0,4.0,20260206,akshare_em,,,,,,,,,,,
2112,三变科技,25.41,10.0,电网设备,1,95809.0,95809.0,0.0,20260206,akshare_em,,,,,,,,,,,
603959,百利科技,6.41,9.948541641235352,专业工程,1,95939.0,101757.0,1.0,20260206,akshare_em,,,,,,,,,,,
2842,翔鹭钨业,28.46,10.0115966796875,小金属,1,101115.0,101115.0,0.0,20260206,akshare_em,,,,,,,,,,,
600722,金牛化工,8.64,10.06369400024414,化学原料,1,101115.0,101115.0,0.0,20260206,akshare_em,,,,,,,,,,,
600884,杉杉股份,14.37,10.030628204345703,电池,1,101524.0,101524.0,0.0,20260206,akshare_em,,,,,,,,,,,
600230,沧州大化,21.63,10.020346641540527,化学制品,1,101714.0,101714.0,0.0,20260206,akshare_em,,,,,,,,,,,
603667,五洲新春,85.65,10.00513744354248,通用设备,1,102229.0,102738.0,3.0,20260206,akshare_em,,,,,,,,,,,
600686,金龙汽车,19.21,10.022909164428713,商用车,1,102239.0,102239.0,0.0,20260206,akshare_em,,,,,,,,,,,
603823,百合花,18.48,10.0,化学制品,1,102322.0,102322.0,0.0,20260206,akshare_em,,,,,,,,,,,
300461,田中精机,50.57,20.00474548339844,自动化设,2,102509.0,103412.0,2.0,20260206,akshare_em,,,,,,,,,,,
2009,天奇股份,31.68,10.0,专用设备,1,102824.0,102824.0,0.0,20260206,akshare_em,,,,,,,,,,,
603331,百达精工,17.75,9.97521686553955,通用设备,1,102859.0,102859.0,0.0,20260206,akshare_em,,,,,,,,,,,
2772,众兴菌业,18.39,9.988038063049316,种植业,1,102924.0,102924.0,0.0,20260206,akshare_em,,,,,,,,,,,
605488,福莱新材,43.05,9.98978042602539,塑料,1,103018.0,103018.0,0.0,20260206,akshare_em,,,,,,,,,,,
2759,天际股份,40.29,9.991809844970703,电池,1,103151.0,105521.0,4.0,20260206,akshare_em,,,,,,,,,,,
2345,潮宏基,13.56,9.975668907165527,饰品,1,103430.0,103430.0,0.0,20260206,akshare_em,,,,,,,,,,,
603607,京华激光,25.47,10.021598815917969,包装印刷,1,103922.0,103922.0,0.0,20260206,akshare_em,,,,,,,,,,,
2150,正泰电源,25.73,10.00427532196045,通用设备,1,110236.0,110236.0,0.0,20260206,akshare_em,,,,,,,,,,,
2099,海翔药业,7.51,9.95607566833496,化学制药,1,110351.0,110712.0,3.0,20260206,akshare_em,,,,,,,,,,,
600063,皖维高新,7.3,9.939759254455566,化学纤维,1,110822.0,110822.0,0.0,20260206,akshare_em,,,,,,,,,,,
603881,数据港,39.16,10.0,通信服务,1,130019.0,131910.0,3.0,20260206,akshare_em,,,,,,,,,,,
603626,科森科技,24.23,9.98638153076172,消费电子,1,130200.0,130539.0,3.0,20260206,akshare_em,,,,,,,,,,,
600987,航民股份,8.29,9.94694995880127,纺织制造,1,130312.0,133857.0,4.0,20260206,akshare_em,,,,,,,,,,,
603876,鼎胜新材,17.77,10.030959129333496,工业金属,1,130851.0,130851.0,0.0,20260206,akshare_em,,,,,,,,,,,
2624,完美世界,19.57,10.005620956420898,游戏Ⅱ,1,132154.0,142533.0,5.0,20260206,akshare_em,,,,,,,,,,,
2015,协鑫能科,12.06,10.03649616241455,电力,1,132327.0,132327.0,0.0,20260206,akshare_em,,,,,,,,,,,
2812,恩捷股份,57.44,9.996170043945312,电池,1,132351.0,132351.0,0.0,20260206,akshare_em,,,,,,,,,,,
2957,科瑞技术,28.78,10.01529026031494,自动化设,1,133027.0,133027.0,0.0,20260206,akshare_em,,,,,,,,,,,
301312,智立方,80.33,20.002988815307617,自动化设,1,133621.0,133621.0,0.0,20260206,akshare_em,,,,,,,,,,,
2361,神剑股份,15.24,10.03610134124756,塑料,2,133836.0,133903.0,1.0,20260206,akshare_em,,,,,,,,,,,
603663,三祥新材,42.93,9.992313385009766,化学原料,1,134534.0,134534.0,0.0,20260206,akshare_em,,,,,,,,,,,
2506,协鑫集成,4.58,10.096153259277344,光伏设备,3,135236.0,135236.0,0.0,20260206,akshare_em,,,,,,,,,,,
600759,洲际油气,5.5,10.0,油气开采,1,135838.0,150000.0,1.0,20260206,akshare_em,,,,,,,,,,,
2519,银河电子,9.52,10.0578031539917,地面兵装,1,141012.0,141736.0,4.0,20260206,akshare_em,,,,,,,,,,,
2072,凯瑞德,8.4,9.947644233703612,贸易Ⅱ,1,142200.0,142736.0,1.0,20260206,akshare_em,,,,,,,,,,,
2207,准油股份,10.32,10.021322250366213,油服工程,1,142424.0,142424.0,0.0,20260206,akshare_em,,,,,,,,,,,
300912,凯龙高科,28.58,19.98320579528809,汽车零部,2,92500.0,92500.0,0.0,20260205,akshare_em,,,,,,,,,,,
601015,陕西黑猫,5.08,9.956709861755373,焦炭Ⅱ,2,92501.0,92501.0,0.0,20260205,akshare_em,,,,,,,,,,,
603616,韩建河山,7.54,10.072992324829102,水泥,2,92502.0,92502.0,0.0,20260205,akshare_em,,,,,,,,,,,
822,山东海化,6.3,9.947644233703612,化学原料,1,93003.0,93003.0,0.0,20260205,akshare_em,,,,,,,,,,,
300461,田中精机,42.14,19.988609313964844,自动化设,1,93024.0,93024.0,0.0,20260205,akshare_em,,,,,,,,,,,
2291,遥望科技,9.04,9.975668907165527,广告营销,1,93030.0,93030.0,0.0,20260205,akshare_em,,,,,,,,,,,
