日期,股票代码,竞价价格,昨收价格,成交量,成交额,时间戳
2026-02-13,002317.SZ,19.1,19.1,2601,4966900,2026-02-13T09:31:06.910313
2026-02-13,000166.SZ,5.06,5.06,16883,8544100,2026-02-13T09:31:06.905928
2026-02-13,300143.SZ,11.39,11.4,669,761400,2026-02-13T09:31:06.914830
2026-02-13,688197.SH,38.41,38.52,110,424900,2026-02-13T09:31:06.901830
2026-02-13,002098.SZ,10.02,10,664,665200,2026-02-13T09:31:06.908805
2026-02-13,002923.SZ,15.83,15.81,3556,5626700,2026-02-13T09:31:06.913325
2026-02-13,603375.SH,38.2,38.2,320,1221100,2026-02-13T09:31:06.897285
2026-02-13,002362.SZ,22.31,22.16,1863,4136800,2026-02-13T09:31:06.910313
2026-02-13,603100.SH,24.88,24.91,817,2028400,2026-02-13T09:31:06.897285
2026-02-13,000977.SZ,64.78,64.77,24046,153798400,2026-02-13T09:31:06.908805
2026-02-13,688499.SH,59.54,59.69,743,4418100,2026-02-13T09:31:06.903348
2026-02-13,600408.SH,3.71,3.72,8309,3093300,2026-02-13T09:31:06.892754
2026-02-13,601100.SH,119.32,121.49,756,9109100,2026-02-13T09:31:06.895780
2026-02-13,301667.SZ,66.82000000000001,67.04,404,2704100,2026-02-13T09:31:06.923334
2026-02-13,002369.SZ,8.42,8.47,6310,5287000,2026-02-13T09:31:06.910313
2026-02-13,301136.SZ,18.37,18.12,7448,13631700,2026-02-13T09:31:06.920532
2026-02-13,601699.SH,13.87,14.22,15657,21851100,2026-02-13T09:31:06.895780
2026-02-13,002918.SZ,16.45,16.6,756,1251100,2026-02-13T09:31:06.913325
2026-02-13,300226.SZ,29.31,29.51,5854,17131000,2026-02-13T09:31:06.914830
2026-02-13,600335.SH,6.54,6.55,2591,1698000,2026-02-13T09:31:06.891237
2026-02-13,002761.SZ,8.51,8.51,1031,877500,2026-02-13T09:31:06.913325
2026-02-13,002068.SZ,9.35,9.4,2502,2349900,2026-02-13T09:31:06.908805
2026-02-13,600480.SH,11.78,11.79,1574,1852800,2026-02-13T09:31:06.892754
2026-02-13,300147.SZ,9.47,9.41,1545,1463500,2026-02-13T09:31:06.914830
2026-02-13,301008.SZ,35.11,35.26,325,1140300,2026-02-13T09:31:06.920532
2026-02-13,000716.SZ,6.100000000000001,6.05,2455,1491300,2026-02-13T09:31:06.907282
2026-02-13,000025.SZ,18.16,18.12,1990,3608300,2026-02-13T09:31:06.905405
2026-02-13,603868.SH,36.9,37,234,864900,2026-02-13T09:31:06.898793
2026-02-13,300027.SZ,2,1.98,85020,17085500,2026-02-13T09:31:06.914830
2026-02-13,603833.SH,58.8,59.32,341,2020300,2026-02-13T09:31:06.898793
2026-02-13,002121.SZ,8.64,8.7,13117,11299500,2026-02-13T09:31:06.910313
2026-02-13,002542.SZ,3.36,3.34,6531,2196200,2026-02-13T09:31:06.911820
2026-02-13,300668.SZ,25.19,25.1,941,2368900,2026-02-13T09:31:06.917482
2026-02-13,603301.SH,87.02,87.62,4067,36069700,2026-02-13T09:31:06.897285
2026-02-13,000811.SZ,17.93,18.31,15886,28479000,2026-02-13T09:31:06.907282
2026-02-13,600831.SH,4.68,4.64,5468,2537900,2026-02-13T09:31:06.894273
2026-02-13,301446.SZ,43.51,43.68,147,639400,2026-02-13T09:31:06.921807
2026-02-13,002882.SZ,31.25,31.41,1441,4498600,2026-02-13T09:31:06.913325
2026-02-13,300254.SZ,11.35,11.37,4393,5000000,2026-02-13T09:31:06.916335
2026-02-13,301421.SZ,95.3,94.9,762,7218800,2026-02-13T09:31:06.921807
2026-02-13,688323.SH,23.94,23.98,1459,3478300,2026-02-13T09:31:06.901830
2026-02-13,000815.SZ,15.54,15.6,186954,288324800,2026-02-13T09:31:06.907282
2026-02-13,301318.SZ,30.47,30.28,315,961500,2026-02-13T09:31:06.921807
2026-02-13,603638.SH,25.18,24.92,4524,11299300,2026-02-13T09:31:06.898793
2026-02-13,002471.SZ,9.18,9,149851,138462400,2026-02-13T09:31:06.911820
2026-02-13,605098.SH,48.73,49.07,140,684500,2026-02-13T09:31:06.900298
2026-02-13,300185.SZ,3.03,3.03,11906,3594400,2026-02-13T09:31:06.914830
2026-02-13,600872.SH,18.74,18.7,2788,5226100,2026-02-13T09:31:06.894273
2026-02-13,688208.SH,35.13,35.25,1915,6734100,2026-02-13T09:31:06.901830
2026-02-13,300701.SZ,12.76,12.76,869,1107600,2026-02-13T09:31:06.919015
2026-02-13,600278.SH,8.61,8.6,2467,2125700,2026-02-13T09:31:06.891237
2026-02-13,688279.SH,199.12,200.13,97,1931500,2026-02-13T09:31:06.901830
2026-02-13,300662.SZ,28.25,28.19,1378,3885500,2026-02-13T09:31:06.917482
2026-02-13,688127.SH,49.3,49.4,2154,10579400,2026-02-13T09:31:06.901830
2026-02-13,300541.SZ,16.58,16.53,8101,13379700,2026-02-13T09:31:06.917482
2026-02-13,688700.SH,40.76,41.28,2690,11001700,2026-02-13T09:31:06.904884
2026-02-13,603499.SH,23.14,23.07,444,1027600,2026-02-13T09:31:06.898793
2026-02-13,301137.SZ,51.03,51.61,1553,7918700,2026-02-13T09:31:06.920532
2026-02-13,600502.SH,4.72,4.73,2343,1108400,2026-02-13T09:31:06.892754
2026-02-13,000060.SZ,7.17,7.28,104964,74985600,2026-02-13T09:31:06.905405
2026-02-13,000695.SZ,12.48,12.5,517,644800,2026-02-13T09:31:06.907282
2026-02-13,300109.SZ,19.2,19.16,1719,3299300,2026-02-13T09:31:06.914830
2026-02-13,603778.SH,14.02,13.91,33868,46303600,2026-02-13T09:31:06.898793
2026-02-13,600858.SH,6.45,6.41,3068,1978000,2026-02-13T09:31:06.894273
2026-02-13,301335.SZ,28.84,28.75,266,767100,2026-02-13T09:31:06.921807
2026-02-13,002963.SZ,15.31,15.29,800,1224400,2026-02-13T09:31:06.913325
2026-02-13,002895.SZ,38.89,39.45,2376,9283400,2026-02-13T09:31:06.913325
2026-02-13,603700.SH,14.45,14.4,636,914700,2026-02-13T09:31:06.898793
2026-02-13,301502.SZ,47.45,47.44,230,1090000,2026-02-13T09:31:06.923334
2026-02-13,603225.SH,21,21.93,8195,17579900,2026-02-13T09:31:06.897285
2026-02-13,000910.SZ,7.67,7.67,2485,1905700,2026-02-13T09:31:06.907282
2026-02-13,300237.SZ,2.49,2.5,7695,1922900,2026-02-13T09:31:06.916335
2026-02-13,300473.SZ,34.16,34.2,1183,4041900,2026-02-13T09:31:06.917482
2026-02-13,603391.SH,72.25,73.29,147,1061400,2026-02-13T09:31:06.898793
2026-02-13,603768.SH,12.16,12.16,538,653800,2026-02-13T09:31:06.898793
2026-02-13,688459.SH,9.950000000000001,9.96,120,119700,2026-02-13T09:31:06.903348
2026-02-13,301275.SZ,58.21,58.2,382,2217400,2026-02-13T09:31:06.921807
2026-02-13,600189.SH,8.24,8.23,1811,1494300,2026-02-13T09:31:06.891237
2026-02-13,002725.SZ,15.27,15.25,1346,2052100,2026-02-13T09:31:06.913325
2026-02-13,000156.SZ,9.14,9.07,43600,39947600,2026-02-13T09:31:06.905928
2026-02-13,300591.SZ,8.8,8.83,6200,5445100,2026-02-13T09:31:06.917482
2026-02-13,301129.SZ,26.77,26.77,311,832900,2026-02-13T09:31:06.920532
2026-02-13,600859.SH,14.45,14.35,4391,6330200,2026-02-13T09:31:06.894273
2026-02-13,300233.SZ,15.27,15.29,765,1165600,2026-02-13T09:31:06.916335
2026-02-13,603819.SH,12.74,12.65,977,1242000,2026-02-13T09:31:06.898793
2026-02-13,600636.SH,8.89,8.9,606,537000,2026-02-13T09:31:06.892754
2026-02-13,600498.SH,43.72,43.37,35447,154376600,2026-02-13T09:31:06.892754
2026-02-13,688191.SH,38.41,38.41,0,0,2026-02-13T09:31:06.901830
2026-02-13,002173.SZ,28.99,28.99,6263,18094700,2026-02-13T09:31:06.910313
2026-02-13,002591.SZ,7.58,7.55,3632,2754700,2026-02-13T09:31:06.911820
2026-02-13,002899.SZ,30.98,31.15,560,1742900,2026-02-13T09:31:06.913325
2026-02-13,300571.SZ,32.75,32.41,10322,33680100,2026-02-13T09:31:06.917482
2026-02-13,600501.SH,26.33,26.27,2377,6247800,2026-02-13T09:31:06.892754
2026-02-13,300338.SZ,3.83,3.78,3225,1228900,2026-02-13T09:31:06.916970
2026-02-13,688716.SH,39.36,39.48,272,1068700,2026-02-13T09:31:06.904884
2026-02-13,300597.SZ,10.25,10.24,1907,1950300,2026-02-13T09:31:06.917482
2026-02-13,605228.SH,14.31,14.3,1543,2202100,2026-02-13T09:31:06.900298
2026-02-13,300101.SZ,28.28,28.68,7038,19958100,2026-02-13T09:31:06.914830
2026-02-13,603808.SH,10.1,10.1,1098,1107900,2026-02-13T09:31:06.898793
2026-02-13,600082.SH,4.34,4.32,6215,2691100,2026-02-13T09:31:06.891237
2026-02-13,688073.SH,60.95,60.6,1614,9866400,2026-02-13T09:31:06.901830
2026-02-13,603909.SH,11.53,11.53,959,1105300,2026-02-13T09:31:06.898793
2026-02-13,603119.SH,98.84,99.35,2505,24727400,2026-02-13T09:31:06.897285
2026-02-13,002703.SZ,20.94,20.85,7950,16635300,2026-02-13T09:31:06.913325
2026-02-13,603728.SH,71.21000000000001,71.69,870,6208400,2026-02-13T09:31:06.898793
2026-02-13,000988.SZ,75.43,76.64,9378,70899400,2026-02-13T09:31:06.908805
2026-02-13,300665.SZ,8.43,8.46,4066,3428500,2026-02-13T09:31:06.917482
2026-02-13,603183.SH,4.75,4.72,3704,1756000,2026-02-13T09:31:06.897285
2026-02-13,600203.SH,12.5,12.53,4105,5123400,2026-02-13T09:31:06.891237
2026-02-13,600768.SH,17.37,17.35,1591,2789100,2026-02-13T09:31:06.894273
2026-02-13,688253.SH,35.16,35.38,384,1356200,2026-02-13T09:31:06.901830
2026-02-13,605318.SH,77.74,75.11,5364,41604000,2026-02-13T09:31:06.900298
2026-02-13,600079.SH,18.98,18.93,3052,5788300,2026-02-13T09:31:06.891237
2026-02-13,002067.SZ,5.77,5.74,44914,26010200,2026-02-13T09:31:06.908805
2026-02-13,600566.SH,27.06,27.26,542,1475800,2026-02-13T09:31:06.892754
2026-02-13,603607.SH,25.25,24.83,3625,9097400,2026-02-13T09:31:06.898793
2026-02-13,600641.SH,17.93,17.91,4443,7921500,2026-02-13T09:31:06.892754
2026-02-13,002903.SZ,22.91,22.66,1792,4066300,2026-02-13T09:31:06.913325
2026-02-13,600395.SH,5.64,5.78,12992,7402200,2026-02-13T09:31:06.892754
2026-02-13,688395.SH,26.99,27.01,212,571100,2026-02-13T09:31:06.903348
2026-02-13,002880.SZ,30.67,30.86,2927,8982800,2026-02-13T09:31:06.913325
2026-02-13,300334.SZ,7.79,7.75,2936,2276200,2026-02-13T09:31:06.916970
2026-02-13,000700.SZ,15.35,15.46,15780,24328600,2026-02-13T09:31:06.907282
2026-02-13,000529.SZ,6.11,6.09,1876,1145300,2026-02-13T09:31:06.906279
2026-02-13,002952.SZ,23.19,23.2,1128,2616500,2026-02-13T09:31:06.913325
2026-02-13,000975.SZ,30.15,30.53,23521,70743900,2026-02-13T09:31:06.908805
2026-02-13,301046.SZ,25.14,25.04,376,944900,2026-02-13T09:31:06.920532
